biwords,frequency
order was,374
took our,374
and order,374
be seat,374
the shrimp,373
peopl in,373
food came,373
good food,373
no flavor,372
disappoint the,372
while the,371
our parti,370
place in,370
chicken was,369
do NOT_get,369
make sure,369
saturday night,369
now i,368
NOT_in NOT_a,368
what the,368
sort of,367
is so,366
wait and,366
and do,365
the good,365
vega i,365
of that,365
us we,365
then the,364
and veri,364
it has,364
is nice,364
were in,363
on their,363
a reserv,363
the order,363
their food,363
experi was,362
time for,362
was noth,362
but no,361
our bill,360
on this,359
view of,359
price for,358
we ve,358
think it,357
a parti,357
food we,357
all over,357
to start,357
the chip,356
made it,355
got our,355
chees and,354
our check,354
is realli,354
was serv,353
for drink,352
forward to,352
so so,352
was dri,352
that she,352
away from,352
sat down,352
ask to,352
was NOT_veri,351
place has,350
was more,350
wait minut,350
bit of,350
food but,350
order it,349
m sure,349
the wrong,349
was NOT_a,349
then we,349
for their,348
mac and,348
NOT_what NOT_i,348
my order,348
a saturday,348
NOT_the NOT_same,347
drink i,346
the street,346
this hotel,346
and one,345
the patio,345
us that,345
let s,345
was way,345
in town,345
i wish,344
make a,344
here on,343
bartend was,343
to stay,343
more like,342
while we,341
well do,340
fri and,340
the new,340
price and,340
anoth minut,340
my experi,340
eat at,340
pick up,339
you will,339
