biwords,frequency
and you,2694
that it,2671
there were,2659
has a,2656
that they,2651
and my,2631
of us,2629
we went,2603
first time,2578
in my,2560
is great,2559
good i,2555
and had,2534
to see,2532
look for,2516
back to,2513
to come,2510
at a,2482
veri nice,2479
NOT_of NOT_the,2470
the steak,2469
that is,2468
i can,2453
about the,2446
was just,2445
place was,2440
come here,2430
as a,2417
it a,2412
the music,2398
the same,2396
bar and,2395
abl to,2388
end up,2379
if i,2374
the atmospher,2370
they do,2366
were veri,2361
you do,2360
but they,2352
came with,2334
got a,2333
with my,2333
get the,2329
tri to,2318
the server,2317
but we,2310
side of,2307
was amaz,2291
the hotel,2282
the fri,2268
that we,2266
the pool,2257
which i,2246
ask for,2245
the night,2233
so it,2227
was excel,2218
is that,2217
all of,2206
NOT_on NOT_the,2206
was nice,2201
as the,2200
the casino,2199
at least,2179
good food,2173
i thought,2171
becaus it,2171
great and,2170
need to,2154
to make,2142
burger and,2137
time and,2113
drink are,2108
a tabl,2095
do note,2086
plenti of,2074
server was,2070
are a,2065
is pretti,2063
were a,2059
he was,2051
ve had,2042
view of,2025
i want,2022
i ca,2014
the club,2010
is good,2010
came out,2006
stay at,2000
what i,1993
for dinner,1991
i also,1985
to vega,1976
would definit,1975
of cours,1969
check in,1967
and there,1961
a drink,1957
out the,1945
place for,1943
we also,1929
becaus i,1926
will definit,1924
worth it,1920
the side,1909
were good,1909
servic and,1908
my wife,1899
high recommend,1896
great servic,1895
to order,1887
for lunch,1882
the wait,1869
was also,1867
that you,1859
it the,1859
seem to,1858
the way,1856
time we,1849
like it,1842
the decor,1836
to find,1832
up to,1831
love it,1830
for our,1828
to say,1826
so good,1824
over the,1822
ever had,1819
NOT_in NOT_the,1819
on my,1817
drink were,1815
the view,1814
on top,1811
of their,1805
of this,1801
to take,1794
delici and,1791
the time,1790
more than,1786
check out,1785
the most,1782
as i,1781
and veri,1776
i came,1773
this restaur,1771
and drink,1768
went to,1763
can be,1756
and have,1754
was awesom,1754
they also,1753
great food,1744
here and,1730
of our,1730
veri friend,1724
in las,1723
she was,1722
so you,1722
you ll,1721
into the,1719
i know,1712
danc floor,1711
to check,1706
a small,1703
a place,1703
staff was,1702
amount of,1698
is alway,1697
did NOT_have,1696
just a,1692
wait for,1681
even though,1677
make sure,1676
come with,1673
and chees,1664
NOT_it NOT_was,1662
coupl of,1662
next to,1661
the meal,1658
group of,1646
been to,1644
not t,1644
in all,1640
can get,1633
you will,1633
the waiter,1631
of it,1626
and that,1625
with some,1612
ve ever,1612
it i,1611
i just,1609
flavor and,1607
i enjoy,1604
NOT_at NOT_all,1601
we came,1596
everyth was,1590
make it,1589
select of,1588
it and,1582
and then,1581
way to,1579
in town,1578
they re,1570
but that,1570
our waiter,1569
to sit,1563
was perfect,1558
worth the,1557
the main,1551
it would,1549
to this,1546
could have,1541
in and,1540
price are,1540
vega and,1540
all in,1538
better than,1537
a big,1523
a side,1523
realli enjoy,1522
i tri,1522
the lobster,1521
a huge,1517
we will,1516
hard to,1511
s the,1506
was on,1499
a larg,1499
ll be,1496
was super,1496
the portion,1495
love this,1494
i guess,1494
and he,1489
part of,1488
than the,1486
to me,1481
becaus the,1478
serv with,1476
and friend,1476
a must,1474
my boyfriend,1470
for us,1469
night and,1466
the day,1465
restaur is,1462
the waitress,1460
good time,1459
walk in,1458
was my,1456
it to,1453
enough to,1452
great time,1451
they did,1450
is realli,1450
to my,1450
the next,1449
we decid,1449
beer and,1446
were seat,1442
a friend,1439
we could,1438
to do,1436
the flavor,1435
give it,1432
for it,1431
to it,1430
bit of,1430
our tabl,1426
was in,1425
for some,1421
and some,1420
what you,1418
the dish,1418
so much,1416
back and,1415
and were,1414
is one,1410
like to,1408
time to,1407
get in,1407
come to,1405
a fun,1403
after a,1403
my first,1399
the whole,1397
NOT_want NOT_to,1396
and this,1392
instead of,1387
around the,1385
NOT_for NOT_the,1381
here is,1380
back for,1374
the one,1372
becaus of,1372
feel like,1370
most of,1368
vega i,1367
food i,1367
definit a,1366
thing i,1365
well as,1365
to our,1363
great the,1363
it out,1363
it had,1360
menu is,1360
fresh and,1358
the crowd,1357
recommend this,1356
when it,1355
a group,1354
at this,1353
hang out,1350
and servic,1349
tabl and,1347
as it,1343
out to,1342
also had,1338
ice cream,1334
place i,1333
i wish,1329
the meat,1326
attent and,1326
a long,1324
which were,1323
realli like,1323
were great,1322
the top,1321
did not,1317
fri and,1315
as we,1311
delici the,1306
been here,1305
burger was,1305
it has,1304
look like,1303
to watch,1303
were the,1301
the beer,1301
to give,1296
good servic,1294
tri it,1292
the end,1290
up the,1288
in it,1286
for an,1285
NOT_have NOT_to,1284
have the,1284
in for,1275
the venetian,1273
to share,1273
sinc i,1272
definit be,1272
but this,1272
fri were,1270
reason price,1262
steak and,1260
chicken and,1257
top of,1255
start with,1255
and delici,1254
to wait,1247
but you,1247
like this,1246
locat in,1246
take a,1243
away from,1242
it did,1241
our waitress,1240
and enjoy,1239
the sauc,1239
the bathroom,1238
menu and,1233
sinc it,1233
of food,1228
if it,1228
veri tasti,1227
a pretti,1224
here on,1222
do not,1222
bar is,1222
was cook,1221
other than,1220
of peopl,1219
a realli,1219
chees and,1218
it came,1218
use to,1217
NOT_to NOT_be,1215
we sat,1212
a star,1212
a bar,1211
be the,1210
realli nice,1209
music was,1205
type of,1202
so that,1201
the right,1200
but if,1200
on our,1195
staff is,1194
me and,1191
get to,1189
were delici,1189
the patio,1185
went here,1185
and great,1184
the front,1182
make a,1182
the bread,1182
NOT_to NOT_the,1180
a while,1177
ton of,1176
are veri,1176
the ambianc,1171
for sure,1170
about this,1170
the middl,1169
varieti of,1168
the rest,1167
would recommend,1167
of them,1163
peopl watch,1161
place and,1161
pork belli,1158
my onli,1155
and our,1155
such a,1155
too much,1153
chip and,1153
insid the,1153
was friend,1151
time the,1151
are the,1151
watch the,1149
were all,1145
dure the,1143
is so,1143
was that,1142
i alway,1131
up with,1131
for dessert,1130
salad and,1129
waitress was,1128
along with,1126
the back,1124
up and,1123
you ca,1123
here again,1119
good as,1118
stay here,1118
and she,1114
mac and,1113
stop by,1110
out and,1109
delici i,1103
piec of,1103
when the,1100
and get,1099
overal i,1099
the pork,1099
this time,1099
the outsid,1097
from a,1096
up for,1095
and good,1093
NOT_it s,1093
in this,1091
everi time,1091
both were,1091
the danc,1090
with it,1090
we are,1090
of all,1087
is definit,1086
got to,1085
sweet potato,1084
m a,1081
think it,1079
onli thing,1079
definit come,1078
and all,1078
say that,1077
clean and,1076
front of,1075
the hostess,1069
the last,1069
made it,1069
star for,1068
veri attent,1068
if we,1067
you like,1067
the fish,1066
went with,1064
to start,1061
a burger,1061
our food,1059
and even,1059
us to,1059
a reserv,1058
mash potato,1058
we have,1057
waiter was,1057
the line,1056
do NOT_know,1056
restaur and,1055
NOT_the NOT_best,1055
re in,1052
for you,1052
as you,1048
on it,1047
through the,1047
strip and,1045
but a,1045
is amaz,1045
i decid,1044
here i,1042
the perfect,1042
also have,1042
is also,1042
the wall,1039
stop in,1039
we want,1037
like i,1037
NOT_have NOT_a,1037
you could,1035
sauc and,1034
give you,1034
and food,1034
with an,1032
end of,1029
in your,1028
NOT_for NOT_a,1028
close to,1025
i recommend,1025
recommend the,1024
sure to,1023
the fact,1023
our drink,1022
saturday night,1021
of beer,1020
and attent,1018
this one,1016
with friend,1015
and did,1013
it seem,1006
room was,1006
more of,1005
came in,1005
to enjoy,1003
and tri,1002
tasti and,1001
seem like,1000
the shrimp,997
atmospher is,997
full of,995
food the,994
see the,994
is nice,993
reason i,992
for this,992
due to,990
was still,990
me to,990
cook perfect,989
here the,986
also order,985
to us,984
rest of,983
i ask,983
top with,983
so the,982
are in,981
we all,980
onli reason,980
on point,980
here with,979
so mani,979
we tri,979
where you,976
restaur in,975
do NOT_have,975
has been,974
if they,973
pay for,973
have had,972
the door,971
the wine,971
becaus they,971
NOT_at NOT_the,970
foie gras,969
an hour,967
though i,966
fan of,964
you go,963
tender and,962
great i,962
steak was,962
in our,960
onion ring,959
i felt,958
we would,958
the manag,958
look at,958
thought it,957
the area,957
right away,956
us and,955
but still,955
medium rare,955
down the,954
good place,953
about it,949
want a,948
husband and,948
i found,947
is awesom,946
for that,945
were realli,945
sinc we,944
NOT_to NOT_go,944
and so,944
were so,943
custom servic,942
and if,942
care of,936
compar to,936
what a,935
we start,934
in front,934
NOT_to NOT_get,933
on their,933
our meal,933
by a,932
a saturday,931
also a,931
good for,930
and just,927
sweet and,925
is my,925
definit go,924
atmospher and,924
pretti much,923
place in,921
fun and,919
the street,919
gave us,918
was fantast,917
the dessert,917
the second,916
the locat,915
NOT_with NOT_the,914
late night,914
i mean,913
becaus we,913
the entir,913
enjoy it,912
NOT_fan NOT_of,911
last night,909
sort of,908
just the,908
and their,907
so if,907
we arriv,907
back again,906
had an,906
littl bit,906
the palazzo,905
the experi,905
but there,904
was an,902
grab a,902
it look,901
all i,900
i go,899
beer select,898
like that,898
it doe,896
we re,895
were in,894
tri this,894
place the,893
took a,893
definit recommend,893
a tri,892
pricey but,892
is just,892
best i,891
vega the,890
good we,890
trip to,890
go for,890
was ok,889
good too,888
the peopl,888
glass of,888
was our,888
well i,887
of flavor,886
at pm,886
than that,884
you know,884
to pay,884
bottl of,883
tast like,882
NOT_the NOT_food,881
eat here,880
burger i,880
there for,879
for their,878
is an,877
of time,877
had some,876
fact that,876
the dj,875
go on,874
stay in,873
a new,872
NOT_this NOT_place,872
new york,872
that this,871
came to,871
near the,871
were pretti,870
it up,869
share the,869
the chef,869
with their,869
m in,866
quick and,865
we ve,865
bar area,865
the bellagio,865
in there,864
decor is,863
a quick,863
is locat,862
the guy,860
come out,860
sit at,860
of wine,859
did NOT_get,859
short rib,858
when they,858
the beef,858
should be,858
was definit,857
and flavor,857
it all,857
and for,856
it took,856
a decent,855
across the,855
with our,854
the crab,854
sauc was,853
in line,853
drink i,852
and got,851
would go,851
were there,850
the new,849
was no,847
sat at,847
it it,843
onli complaint,842
dinner and,842
thing that,841
a cool,841
prime rib,841
parti of,840
was one,839
the qualiti,839
music and,839
been a,838
the salad,838
NOT_go NOT_to,838
s just,837
could be,836
howev the,835
was more,835
a fan,834
for two,833
the girl,832
a perfect,832
easi to,832
i saw,830
it for,830
salad was,827
said it,826
was too,825
was quit,824
great experi,824
and order,823
though the,823
order it,822
were abl,822
place has,822
spot to,822
bottl servic,822
what we,821
and help,820
