words,frequency
mine,461
notaddjust,461
bowl,461
save,460
notaddanything,459
simply,458
eaten,457
talking,457
soggy,456
considering,456
notaddare,455
issue,455
tasting,454
clearly,454
hate,454
rating,452
vibe,451
perhaps,447
feeling,446
vip,446
located,446
notaddgreat,446
sign,443
smoke,442
notaddmore,442
menus,442
dollars,441
morning,441
goes,440
blue,439
par,439
gross,439
wow,438
cook,437
drunk,437
notaddan,436
notaddprice,436
bucks,435
clubs,435
fee,434
notaddgoing,434
opened,434
green,431
five,429
bottom,429
standing,423
perfect,423
notadddid,423
bun,422
notadddo,422
notaddother,421
standard,421
greeted,421
expectations,419
credit,419
closed,419
obviously,418
chili,418
mentioned,417
mix,415
forward,415
lol,415
sort,413
notaddexperience,413
dressing,412
cake,412
dip,410
dancing,409
notaddtable,409
chance,408
truffle,408
added,408
tomato,405
tender,404
lost,404
seats,403
oysters,402
thinking,401
despite,401
split,401
eye,400
simple,400
recommended,400
sushi,400
interesting,398
guacamole,398
brunch,397
level,396
nearly,396
lacked,395
prepared,394
flavors,394
sports,394
filled,393
th,393
margaritas,393
otherwise,392
finish,392
surprised,392
mistake,391
drinking,391
la,391
lettuce,390
establishment,390
bars,390
sour,387
yeah,387
takes,387
placed,385
egg,385
hair,384
notaddpeople,384
tonight,382
crazy,381
alright,381
pub,380
share,379
fantastic,378
sucked,377
thank,375
skip,375
grab,374
plain,373
avoid,372
odd,371
pepper,371
presentation,371
roll,371
ones,370
tasteless,370
thanks,369
onions,368
oz,367
opinion,366
included,365
face,365
calamari,365
ladies,364
including,364
notadddrink,363
bother,362
gotten,361
bites,361
sucks,359
waiters,358
hoping,357
waitresses,357
turn,356
choices,356
easy,356
