beer1,beer1freq,beer2,beer2freq,beer3,beer3freq,beer4,beer4freq,beer5,beer5freq
domest beer,26.0,beer beer,23.0,beer float,41.0,grab beer,72.0,awesom beer,85
beer drink,26.0,grab beer,22.0,cheap beer,39.0,cheap beer,72.0,differ beer,85
beer this,25.0,coupl beer,21.0,one beer,38.0,coupl beer,71.0,love beer,84
warm beer,24.0,beer wine,21.0,beer great,38.0,beer bar,70.0,beer well,83
beer go,24.0,beer glass,21.0,beer realli,36.0,decent beer,69.0,beer like,80
root beer,24.0,cold beer,21.0,two beer,36.0,beer cold,68.0,beer tri,78
price beer,23.0,price beer,20.0,got beer,34.0,beer beer,67.0,beer choic,76
beer beer,23.0,beer special,20.0,beer like,34.0,beer well,66.0,burger beer,76
great beer,23.0,bucket beer,20.0,beer one,34.0,beer order,66.0,knowledg beer,75
us beer,22.0,lot beer,20.0,place beer,34.0,beer choic,66.0,beer love,74
beer warm,22.0,beer cocktail,19.0,grab beer,34.0,beer also,65.0,beer bar,73
beer said,22.0,beer one,19.0,beer would,33.0,get beer,65.0,place beer,72
beer took,22.0,beer bar,19.0,beer drink,31.0,differ beer,64.0,enjoy beer,72
beer bartend,22.0,serv beer,19.0,beer choic,31.0,beer tri,63.0,beer beer,69
beer one,21.0,beer float,19.0,domest beer,31.0,beer special,60.0,local beer,69
beer shot,21.0,beer took,18.0,ginger beer,31.0,place beer,60.0,beer amaz,69
pay beer,21.0,ask beer,18.0,beer two,30.0,price beer,59.0,favorit beer,68
want beer,21.0,beer like,18.0,beer burger,30.0,local beer,59.0,beer also,66
beer bottl,20.0,beer bottl,18.0,beer glass,29.0,beer choos,58.0,brew beer,66
play beer,19.0,no beer,18.0,oz beer,29.0,beer park,58.0,get beer,64
beer minut,19.0,place beer,18.0,beer cocktail,29.0,varieti beer,57.0,bottl beer,64
beer want,19.0,beer chees,18.0,beer go,29.0,taco beer,57.0,lot beer,63
beer left,19.0,beer happi,17.0,nice beer,29.0,enjoy beer,56.0,coupl beer,61
bucket beer,18.0,nice beer,17.0,beer garden,29.0,beer get,56.0,oz beer,60
oz beer,18.0,beer would,17.0,beer tri,28.0,beer garden,55.0,beer get,60
beer would,18.0,hour beer,17.0,brew beer,27.0,love beer,54.0,tri beer,60
beer price,18.0,come beer,17.0,beer special,26.0,beer like,54.0,beer draft,59
his beer,17.0,beer even,16.0,serv beer,26.0,beer draft,52.0,cheap beer,59
beer told,17.0,beer two,16.0,enjoy beer,26.0,tri beer,52.0,cocktail beer,58
beer get,17.0,beer got,16.0,beer get,25.0,beer pretti,50.0,beer awesom,58
charg beer,17.0,cheap beer,16.0,go beer,25.0,beer realli,50.0,beer servic,57
cheap beer,17.0,beer want,16.0,beer offer,25.0,beer lover,49.0,delici beer,57
three beer,16.0,beer drink,15.0,better beer,25.0,cocktail beer,49.0,beer special,56
pitcher beer,16.0,beer no,15.0,beer flight,25.0,serv beer,48.0,beer realli,56
beer even,16.0,beer still,14.0,local beer,25.0,got beer,48.0,like beer,55
pour beer,16.0,beer serv,14.0,beer no,24.0,nice beer,46.0,beer delici,54
beer two,15.0,decent beer,14.0,beer pretti,24.0,beer drinker,46.0,excel beer,53
beer special,15.0,star beer,14.0,beer avail,24.0,one beer,45.0,mani beer,52
beer water,15.0,second beer,14.0,come beer,24.0,huge beer,44.0,grab beer,51
beer went,15.0,beer shot,14.0,beer also,23.0,ton beer,44.0,beer order,51
beer friend,15.0,like beer,13.0,beer bottl,23.0,beer would,43.0,beer go,51
first beer,15.0,go beer,13.0,bucket beer,23.0,beer flight,43.0,huge beer,49
local beer,15.0,domest beer,13.0,tri beer,23.0,beer root,43.0,beer flight,49
beer chees,15.0,his beer,13.0,differ beer,23.0,beer shot,42.0,ton beer,48
beer park,15.0,play beer,13.0,varieti beer,23.0,beer servic,41.0,beer bartend,48
beer waitress,14.0,beer choic,13.0,beer servic,23.0,bucket beer,41.0,bucket beer,47
beer play,14.0,beer wait,13.0,beer draft,22.0,beer go,40.0,beer definit,47
beer wine,14.0,differ beer,13.0,hous beer,22.0,beer enjoy,39.0,beer choos,47
minut beer,14.0,back beer,13.0,beer park,22.0,beer nice,39.0,beer ca,47
serv beer,14.0,beer tri,13.0,light beer,21.0,larg beer,39.0,serv beer,46
beer come,14.0,bar beer,12.0,no beer,21.0,beer watch,39.0,bar beer,46
beer cocktail,14.0,beer tast,12.0,love beer,21.0,awesom beer,39.0,beer even,45
wine beer,14.0,wine beer,12.0,beer serv,21.0,hour beer,38.0,beer friend,45
beer well,14.0,fri beer,12.0,beer tast,21.0,two beer,38.0,beer ice,44
finish beer,14.0,beer bartend,12.0,wine beer,20.0,extens beer,38.0,well beer,44
empti beer,14.0,beer also,12.0,beer happi,20.0,beer offer,37.0,nice beer,44
second beer,14.0,beer think,12.0,beer ask,20.0,excel beer,36.0,beer best,44
beer flat,13.0,us beer,12.0,beer beer,20.0,beer serv,36.0,got beer,44
beer got,13.0,this beer,12.0,cocktail beer,20.0,beer tast,36.0,one beer,43
overpr beer,13.0,beer friend,12.0,beer seem,20.0,hous beer,36.0,beer bottl,43
beer serv,13.0,first beer,12.0,beer shot,20.0,beer even,36.0,beer tast,43
wrong beer,13.0,stick beer,12.0,beer well,20.0,beer burger,36.0,know beer,43
beer batter,12.0,beer minut,12.0,beer decent,20.0,oz beer,36.0,beer garden,43
beer anoth,12.0,beer go,12.0,beer choos,20.0,also beer,35.0,beer lover,42
beer happi,12.0,ginger beer,11.0,beer got,19.0,beer one,35.0,beer shot,41
like beer,12.0,beer could,11.0,pitcher beer,19.0,new beer,35.0,beer happi,41
beer watch,11.0,beer realli,11.0,ok beer,19.0,bar beer,35.0,also beer,40
take beer,11.0,beer well,11.0,beer want,19.0,domest beer,35.0,beer alway,40
beer walk,11.0,beer server,11.0,fri beer,19.0,beer got,35.0,sampl beer,40
expens beer,11.0,beer place,11.0,back beer,18.0,beer bottl,34.0,beer nice,40
beer like,11.0,enjoy beer,11.0,beer make,18.0,beer brew,34.0,beer brew,39
beer garden,11.0,love beer,11.0,beer noth,18.0,favorit beer,34.0,beer offer,38
beer great,10.0,beer waitress,10.0,want beer,18.0,best beer,34.0,beer excel,38
wait beer,10.0,oz beer,10.0,beer watch,18.0,knowledg beer,34.0,beer option,37
beer sinc,10.0,glass beer,10.0,beer cheap,18.0,beer happi,33.0,hous beer,37
hour beer,10.0,water beer,10.0,taco beer,18.0,beer friend,33.0,beer serv,36
decent beer,10.0,wrong beer,10.0,friend beer,17.0,sampl beer,33.0,two beer,36
bar beer,10.0,half beer,10.0,beer came,17.0,glass beer,32.0,come beer,36
time beer,10.0,light beer,10.0,hour beer,17.0,beer two,32.0,beer recommend,36
beer also,10.0,beer watch,10.0,game beer,17.0,pitcher beer,32.0,beer made,36
beer pizza,10.0,beer howev,10.0,bar beer,17.0,beer awesom,32.0,beer drinker,36
glass beer,10.0,beer appet,10.0,beer nice,17.0,beer option,31.0,price beer,35
beer charg,10.0,friend beer,10.0,extens beer,17.0,light beer,31.0,us beer,35
beer ca,10.0,pitcher beer,10.0,mani beer,16.0,friend beer,31.0,go beer,35
beer float,10.0,beer servic,10.0,beer cost,16.0,choic beer,31.0,beer cheap,35
beer free,9.0,stop beer,10.0,tap beer,16.0,beer includ,31.0,beer sampler,34
back beer,9.0,beer come,10.0,stop beer,16.0,beer mix,31.0,beer one,34
beer first,9.0,beer cost,9.0,also beer,16.0,mani beer,31.0,beer got,34
beer tri,9.0,beer burger,9.0,beer bartend,16.0,beer love,31.0,beer price,34
better beer,9.0,overpr beer,9.0,stick beer,16.0,back beer,30.0,extens beer,33
notadd beer,9.0,varieti beer,9.0,beer liquor,16.0,beer reason,30.0,beer two,33
beer tast,9.0,beer went,9.0,beer check,16.0,delici beer,30.0,beer burger,33
comp beer,9.0,larg beer,9.0,appet beer,16.0,time beer,30.0,beer could,33
beer draft,9.0,beer cheap,9.0,ton beer,16.0,this beer,30.0,flight beer,33
enjoy beer,9.0,ounc beer,9.0,beer brew,16.0,beer made,30.0,vega beer,33
said beer,9.0,beer told,9.0,beer ca,16.0,beer ca,30.0,this beer,32
beer appet,9.0,beer night,9.0,beer though,16.0,come beer,29.0,pitcher beer,32
differ beer,9.0,beer pretti,9.0,beer friend,15.0,tap beer,29.0,hour beer,32
beer bad,9.0,beer look,9.0,larg beer,15.0,beer cheap,29.0,beer pretti,32
beer make,8.0,beer mix,9.0,beer appet,15.0,stop beer,29.0,menu beer,32
ginger beer,8.0,beer water,9.0,expens beer,15.0,special beer,28.0,beer avail,32
buy beer,8.0,limit beer,9.0,came beer,15.0,type beer,28.0,friend beer,32
dinner beer,8.0,pay beer,9.0,shot beer,15.0,beer littl,27.0,fantast beer,31
beer server,8.0,beer disappoint,9.0,second beer,15.0,beer came,27.0,new beer,30
beer give,8.0,beer ok,9.0,his beer,14.0,fri beer,27.0,choic beer,30
beer margarita,8.0,beer left,9.0,pint beer,14.0,beer come,27.0,servic beer,30
drank beer,8.0,beer better,9.0,star beer,14.0,amaz beer,27.0,beer enjoy,29
beer brought,8.0,beer way,9.0,us beer,14.0,size beer,26.0,beer root,29
beer gave,8.0,beer arriv,9.0,beer place,14.0,game beer,26.0,fri beer,29
pint beer,8.0,expens beer,9.0,anoth beer,14.0,includ beer,26.0,giant beer,29
beer realli,8.0,finish beer,9.0,beer ok,14.0,play beer,26.0,uniqu beer,29
round beer,8.0,beer littl,8.0,excel beer,13.0,beer alway,26.0,beer mix,29
beer way,8.0,also beer,8.0,beer eat,13.0,go beer,26.0,beer place,29
beer flight,8.0,want beer,8.0,well beer,13.0,wing beer,26.0,beer ever,29
burger beer,8.0,beer brought,8.0,first beer,13.0,well beer,25.0,decent beer,29
beer least,8.0,pint beer,8.0,tast beer,13.0,beer play,25.0,list beer,29
beer expens,8.0,beer draft,8.0,beer littl,13.0,beer bartend,25.0,plenti beer,29
beer right,8.0,minut beer,8.0,best beer,13.0,pint beer,25.0,dark beer,29
beer instead,8.0,beer bill,8.0,beer vega,13.0,beer place,24.0,tap beer,28
beer burger,8.0,pour beer,8.0,list beer,13.0,beer appet,24.0,beer snob,28
flat beer,8.0,empti beer,8.0,choic beer,13.0,beer whiskey,24.0,recommend beer,27
taco beer,8.0,beer wing,8.0,beer think,13.0,beer glass,23.0,beer would,27
beer miller,7.0,beer instead,8.0,huge beer,12.0,beer want,23.0,beer appet,27
beer place,7.0,ok beer,8.0,beer alway,12.0,menu beer,23.0,tast beer,27
bill beer,7.0,beer mayb,8.0,ask beer,12.0,beer server,23.0,tasti beer,27
beer manag,7.0,wait beer,8.0,beer come,12.0,beer around,23.0,beer make,27
beer oz,7.0,brew beer,8.0,beer brought,12.0,shot beer,23.0,beer came,27
fri beer,7.0,new beer,8.0,beer meal,12.0,qualiti beer,23.0,beer tasti,27
kind beer,7.0,night beer,8.0,glass beer,12.0,his beer,22.0,stop beer,27
dollar beer,7.0,beer margarita,8.0,beer sure,12.0,beer cider,22.0,glass beer,26
buck beer,7.0,beer eat,8.0,import beer,12.0,beer make,22.0,size beer,26
beer need,7.0,wheat beer,8.0,special beer,12.0,us beer,22.0,time beer,26
beer probabl,7.0,beer much,8.0,beer reason,12.0,beer snob,22.0,beer watch,26
beer guess,7.0,mani beer,8.0,beer know,12.0,anoth beer,22.0,type beer,26
ounc beer,7.0,beer park,8.0,pour beer,12.0,beer decent,22.0,beer come,26
this beer,7.0,beer give,7.0,beer even,12.0,vega beer,22.0,beer super,25
light beer,7.0,quick beer,7.0,beer way,12.0,sever beer,22.0,shot beer,25
beer servic,7.0,beer fine,7.0,beer sinc,11.0,list beer,22.0,beer want,25
beer check,7.0,dollar beer,7.0,beer amaz,11.0,beer excel,22.0,perfect beer,25
cup beer,7.0,beer half,7.0,amaz beer,11.0,solid beer,21.0,beer taco,25
beer girl,7.0,bill beer,7.0,beer cool,11.0,beer avail,21.0,beer vega,25
beer fine,7.0,beer make,7.0,pizza beer,11.0,beer margarita,21.0,his beer,24
come beer,7.0,beer wife,7.0,beer server,11.0,beer look,21.0,domest beer,24
beer still,7.0,wing beer,7.0,qualiti beer,11.0,beer definit,21.0,beer glass,24
beer half,7.0,stale beer,7.0,beer mix,11.0,tast beer,21.0,wing beer,24
beer choic,7.0,better beer,7.0,favorit beer,11.0,pizza beer,21.0,start beer,24
beer noth,7.0,beer soda,7.0,play beer,11.0,even beer,21.0,beer reason,24
tap beer,7.0,cup beer,7.0,beer drinker,11.0,beer lot,21.0,back beer,23
beer soda,7.0,crap beer,7.0,beer snob,11.0,star beer,21.0,play beer,23
friend beer,7.0,beer sat,7.0,beer sampler,10.0,beer hous,21.0,game beer,23
lot beer,7.0,say beer,7.0,flight beer,10.0,tasti beer,20.0,beer check,23
beer tower,7.0,nickel beer,7.0,beer expens,10.0,beer tasti,20.0,everi beer,23
beer dinner,6.0,beer check,7.0,type beer,10.0,better beer,20.0,includ beer,22
water beer,6.0,beer expens,7.0,dinner beer,10.0,beer ice,20.0,beer around,22
beer husband,6.0,type beer,7.0,beer time,10.0,tabl beer,20.0,kind beer,22
beer small,6.0,margarita beer,7.0,beer waitress,10.0,draught beer,20.0,beer fun,22
beer ice,6.0,beer final,7.0,quick beer,10.0,beer liquor,20.0,beer perfect,22
love beer,6.0,beer flight,7.0,beer challeng,10.0,beer actual,20.0,beer no,22
tri beer,6.0,list beer,7.0,beer tower,10.0,irish beer,20.0,beer suggest,22
beer could,6.0,beer nice,6.0,regular beer,10.0,beer check,20.0,beer server,22
beer pour,6.0,beer noth,6.0,warm beer,10.0,giant beer,19.0,mexican beer,21
full beer,6.0,three beer,6.0,beer overal,10.0,beer night,19.0,beer staff,21
half beer,6.0,beer ridicul,6.0,wing beer,10.0,impress beer,19.0,margarita beer,21
beer us,6.0,ipa beer,6.0,beer includ,10.0,stick beer,19.0,beer fantast,21
beer say,6.0,beer avail,6.0,beer margarita,10.0,kind beer,19.0,anoth beer,20
much beer,6.0,beer pint,6.0,beer free,10.0,beer no,19.0,sour beer,20
beer mix,6.0,five beer,6.0,beer recommend,10.0,beer bite,19.0,beer game,20
game beer,6.0,beer cooler,6.0,beer option,10.0,plenti beer,19.0,beer liquor,20
place beer,6.0,charg beer,6.0,beer instead,10.0,wheat beer,19.0,beer free,20
green beer,6.0,awesom beer,6.0,meal beer,10.0,appet beer,19.0,beer includ,20
appet beer,6.0,four beer,6.0,beer night,10.0,beer fan,19.0,larg beer,20
later beer,6.0,beer ca,6.0,beer bad,10.0,beer second,19.0,beer mani,20
ok beer,6.0,choic beer,6.0,beer around,10.0,everi beer,18.0,beer high,20
beer sampler,6.0,beer flat,6.0,beer mayb,10.0,beer vega,18.0,solid beer,20
beer howev,6.0,sampl beer,6.0,beer bucket,10.0,beer oz,18.0,incred beer,20
beer night,6.0,beer first,6.0,impress beer,10.0,atmospher beer,18.0,bread beer,20
min beer,6.0,open beer,6.0,size beer,9.0,eat beer,18.0,beer pair,19
brought beer,6.0,beer play,6.0,tabl beer,9.0,dark beer,18.0,salad beer,19
beer coke,6.0,dark beer,6.0,night beer,9.0,bread beer,18.0,import beer,19
beer sat,6.0,beer empti,6.0,beer next,9.0,beer think,17.0,big beer,19
type beer,6.0,game beer,6.0,sampl beer,9.0,salad beer,17.0,beer fan,19
beer bucket,6.0,cocktail beer,6.0,beer fine,9.0,beer start,17.0,beer play,19
go beer,6.0,buy beer,6.0,plenti beer,9.0,offer beer,17.0,came beer,19
wing beer,6.0,beer though,6.0,beer interest,9.0,beer wait,17.0,draught beer,19
beer offer,6.0,beer sinc,6.0,averag beer,9.0,dollar beer,17.0,beer whiskey,19
beer think,6.0,tri beer,6.0,beer actual,9.0,beer could,17.0,even beer,18
beer final,6.0,beer free,6.0,beer went,9.0,pretzel beer,17.0,pizza beer,18
went beer,6.0,tell beer,6.0,beer buck,9.0,beer recommend,16.0,beer hous,18
beer empti,6.0,servic beer,6.0,expect beer,9.0,beer wing,16.0,beer ask,18
advertis beer,6.0,tabl beer,6.0,new beer,9.0,want beer,16.0,beer yes,18
beer plus,5.0,beer vega,6.0,okay beer,9.0,recommend beer,16.0,no beer,18
purchas beer,5.0,beer fri,6.0,time beer,9.0,import beer,16.0,light beer,18
cocktail beer,5.0,round beer,6.0,beer howev,9.0,beer best,16.0,beer back,18
beer look,5.0,beer guy,6.0,beer lover,9.0,beer went,16.0,beer see,17
give beer,5.0,beer warm,6.0,beer bit,9.0,round beer,16.0,beer buck,17
beer per,5.0,beer fun,6.0,knowledg beer,9.0,beer sampl,16.0,pint beer,17
beer wo,5.0,taco beer,6.0,beer wait,9.0,beer sampler,16.0,beer night,17
bought beer,5.0,came beer,6.0,beer could,9.0,beer overal,16.0,wheat beer,17
paid beer,5.0,beer best,6.0,irish beer,9.0,dinner beer,16.0,beer alcohol,17
refil beer,5.0,buck beer,5.0,beer love,9.0,beer brais,16.0,beer everyth,17
stick beer,5.0,local beer,5.0,beer enjoy,9.0,steak beer,16.0,beer sampl,17
beer wife,5.0,beer actual,5.0,beer least,9.0,beer deal,15.0,beer went,17
beer chip,5.0,thing beer,5.0,howev beer,8.0,perfect beer,15.0,beer bite,17
beer time,5.0,notaddher beer,5.0,wheat beer,8.0,first beer,15.0,beer strip,17
custom beer,5.0,shot beer,5.0,beer took,8.0,side beer,15.0,qualiti beer,17
beer hand,5.0,beer okay,5.0,snack beer,8.0,pour beer,15.0,atmospher beer,17
nd beer,5.0,beer head,5.0,see beer,8.0,liquor beer,15.0,better beer,17
beer worth,5.0,flight beer,5.0,beer fan,8.0,amount beer,15.0,specialti beer,17
beer saw,5.0,warm beer,5.0,take beer,8.0,beer perfect,15.0,rootbeer float,17
open beer,5.0,beer bad,5.0,chees beer,8.0,beer super,15.0,beer hand,17
beer snob,5.0,dinner beer,5.0,beer run,8.0,beer cool,15.0,beer wife,17
beer sit,5.0,beer guess,5.0,put beer,8.0,came beer,15.0,beer wait,17
beer long,5.0,beer his,5.0,beer water,8.0,averag beer,15.0,flavor beer,17
told beer,5.0,beer thought,5.0,thing beer,8.0,beer fri,15.0,quick beer,17
beer better,5.0,beer hard,5.0,beer definit,8.0,beer though,15.0,knew beer,16
beer cost,5.0,notadd beer,5.0,belgian beer,8.0,four beer,15.0,special beer,16
beer cup,5.0,beer ever,5.0,beer half,8.0,beer ask,15.0,beer cider,16
beer game,5.0,beer suppos,5.0,margarita beer,8.0,beer delici,15.0,outstand beer,16
beer someon,5.0,beer charg,5.0,deal beer,8.0,beer sport,14.0,meal beer,16
beer someth,5.0,beer anoth,5.0,spot beer,8.0,beer tip,14.0,side beer,16
beer wing,5.0,beer almost,5.0,chip beer,8.0,beer pint,14.0,rotat beer,16
tip beer,5.0,forgot beer,5.0,beer lot,8.0,thing beer,14.0,find beer,16
left beer,5.0,beer drinker,5.0,notaddit beer,8.0,night beer,14.0,season beer,16
least beer,5.0,beer pay,5.0,charg beer,8.0,beer meal,14.0,beer lot,16
beer bill,5.0,beer pub,5.0,went beer,8.0,beer staff,14.0,beer world,16
per beer,5.0,beer waiter,5.0,around beer,8.0,beer amaz,14.0,night beer,15
beer without,5.0,nacho beer,5.0,beer chicken,7.0,fantast beer,14.0,has beer,15
best beer,5.0,beer regular,5.0,beer still,7.0,know beer,14.0,beer craft,15
beer love,5.0,size beer,5.0,red beer,7.0,plus beer,14.0,beer margarita,15
nice beer,5.0,end beer,5.0,find beer,7.0,beer ever,14.0,beer local,15
beer know,5.0,beer leav,5.0,half beer,7.0,flight beer,14.0,made beer,15
beer tell,5.0,beer buck,5.0,beer end,7.0,beer local,13.0,talk beer,15
beer let,5.0,beer made,5.0,beer much,7.0,beer free,13.0,beer day,15
beer hous,5.0,beer plus,5.0,beer second,7.0,sip beer,13.0,dollar beer,15
pretzel beer,5.0,beer start,5.0,extra beer,7.0,though beer,13.0,beer has,15
beer choos,5.0,full beer,5.0,beer okay,7.0,beer person,13.0,beer plus,15
beer paid,5.0,beer question,5.0,overpr beer,7.0,beer back,13.0,beer steak,15
beer his,5.0,comp beer,5.0,beer better,7.0,flavor beer,13.0,coffe beer,15
beer usual,5.0,side beer,5.0,flavor beer,7.0,beer fresh,13.0,beer right,15
special beer,5.0,beer hand,5.0,beer usual,7.0,think beer,13.0,beer think,15
bad beer,5.0,tap beer,5.0,beer oh,7.0,beer dinner,13.0,help beer,15
took beer,5.0,beer alway,5.0,beer fri,7.0,belgian beer,13.0,beer flavor,15
bring beer,5.0,green beer,5.0,recommend beer,7.0,beer eat,13.0,beer fresh,15
beer option,5.0,even beer,5.0,said beer,7.0,beer alcohol,13.0,pretzel beer,15
beer end,5.0,real beer,5.0,beer take,7.0,sit beer,13.0,beer bucket,14
menu beer,5.0,said beer,5.0,beer excel,7.0,microbrew beer,13.0,jenga beer,14
meal beer,5.0,beer tabl,5.0,beer total,7.0,spot beer,12.0,suggest beer,14
qualiti beer,5.0,beer recommend,5.0,servic beer,7.0,beer right,12.0,beer look,14
brew beer,5.0,put beer,4.0,finish beer,7.0,beer much,12.0,ipa beer,14
beer thing,5.0,name beer,4.0,beer best,7.0,beer plus,12.0,beer time,14
beer start,4.0,spill beer,4.0,beer told,7.0,buy beer,12.0,cent beer,14
servic beer,4.0,beer oz,4.0,beer plus,7.0,beer next,12.0,beer spirit,14
beer three,4.0,oh beer,4.0,beer guy,7.0,second beer,12.0,want beer,14
cent beer,4.0,appet beer,4.0,beer bill,7.0,strip beer,12.0,appet beer,14
came beer,4.0,menu beer,4.0,fantast beer,7.0,beer buck,12.0,beer fri,14
beer strip,4.0,paid beer,4.0,steak beer,7.0,beer sinc,12.0,beer cours,14
everi beer,4.0,beer averag,4.0,side beer,7.0,margarita beer,12.0,make beer,14
beer gambl,4.0,beer gambl,4.0,beer mani,7.0,beer half,12.0,beer usual,14
run beer,4.0,howev beer,4.0,beer find,7.0,right beer,12.0,beer take,14
beer top,4.0,miss beer,4.0,draught beer,7.0,beer still,12.0,tabl beer,14
beer everi,4.0,soda beer,4.0,fill beer,7.0,option beer,12.0,choos beer,14
float beer,4.0,last beer,4.0,dollar beer,7.0,beer need,12.0,dinner beer,14
beer use,4.0,lunch beer,4.0,beer play,7.0,beer taco,12.0,impress beer,14
beer nacho,4.0,cool beer,4.0,beer expect,7.0,oyster beer,12.0,beer full,14
around beer,4.0,long beer,4.0,beer head,7.0,beer challeng,12.0,beer atmospher,14
beer liquor,4.0,beer horribl,4.0,beer delici,7.0,beer club,11.0,beer top,14
nacho beer,4.0,least beer,4.0,vega beer,7.0,beer least,11.0,first beer,14
disgust beer,4.0,beer decid,4.0,beer give,7.0,half beer,11.0,strip beer,14
beer ok,4.0,later beer,4.0,this beer,7.0,island beer,11.0,beer oh,14
margarita beer,4.0,brought beer,4.0,beer walk,7.0,servic beer,11.0,chang beer,14
restaur beer,4.0,beer said,4.0,beer back,7.0,beer took,11.0,four beer,13
beer decid,4.0,beer alcohol,4.0,beer super,7.0,end beer,11.0,beer found,13
beer suppos,4.0,averag beer,4.0,three beer,7.0,beer bad,11.0,beer favorit,13
beer reason,4.0,beer husband,4.0,ounc beer,7.0,beer snack,11.0,beer total,13
knowledg beer,4.0,think beer,4.0,everi beer,7.0,beer quit,11.0,alcohol beer,13
recommend beer,4.0,beer call,4.0,beer root,7.0,ipa beer,11.0,beer know,13
beer avoid,4.0,beer sad,4.0,round beer,6.0,beer big,11.0,beer mug,13
beer short,4.0,beer hope,4.0,beer fair,6.0,breweri beer,11.0,beer sake,13
anyth beer,4.0,see beer,4.0,beer oz,6.0,number beer,11.0,cool beer,13
beer oh,4.0,has beer,4.0,includ beer,6.0,big beer,11.0,buy beer,13
has beer,4.0,notaddb beer,4.0,beer wing,6.0,beer craft,11.0,beer thank,13
beer min,4.0,season beer,4.0,beer salad,6.0,fun beer,11.0,beer mayb,13
mediocr beer,4.0,beer usual,4.0,start beer,6.0,beer mani,11.0,beer yummi,13
bloodi beer,4.0,notaddit beer,4.0,yummi beer,6.0,start beer,11.0,beer guy,13
beer decent,4.0,beer may,4.0,beer atmospher,6.0,cours beer,11.0,beer oz,13
beer show,4.0,beer let,4.0,beer felt,6.0,no beer,11.0,offer beer,13
walk beer,4.0,disappoint beer,4.0,small beer,6.0,american beer,11.0,beer pizza,13
thing beer,4.0,beer root,4.0,beer soda,6.0,rang beer,11.0,went beer,13
beer later,4.0,sandwich beer,4.0,beer said,6.0,beer favorit,11.0,room beer,12
beer outsid,4.0,beer take,4.0,beer rang,6.0,beer keep,11.0,beer say,12
beer actual,4.0,beer mean,4.0,beer made,6.0,beer instead,11.0,beer call,12
hot beer,4.0,beer peopl,4.0,awesom beer,6.0,rootbeer float,11.0,beer soju,12
beer drinker,4.0,well beer,4.0,buck beer,6.0,beer cours,11.0,beer knowledg,12
star beer,4.0,beer seem,4.0,made beer,6.0,beer full,11.0,check beer,12
beer chicken,4.0,favorit beer,4.0,uniqu beer,6.0,beer three,11.0,beer everi,12
