beer1,beer1freq,beer2,beer2freq,beer3,beer3freq,beer4,beer4freq,beer5,beer5freq
order one beer,5.0,good select beer,6.0,beer mix drink,10.0,beer this place,23.0,beer happi hour,32
friend order beer,5.0,draft beer select,6.0,select draft beer,10.0,great beer tap,23.0,beer great food,30
wait min beer,5.0,this place beer,6.0,well drink beer,10.0,craft beer tap,23.0,beer root beer,29
beer go notaddto,5.0,burger fri beer,6.0,craft beer tap,9.0,larg select beer,22.0,happi hour beer,28
could get beer,5.0,decent beer select,5.0,servic good beer,9.0,great craft beer,22.0,great beer tap,28
beer select good,5.0,food beer select,5.0,beer glass wine,9.0,beer select pretti,21.0,amaz beer select,27
order drink beer,5.0,drink get beer,5.0,beer good food,9.0,beer pretti good,21.0,draft beer select,27
beer glass wine,5.0,star great beer,5.0,craft beer select,9.0,pretti good beer,21.0,this place beer,27
hour order beer,5.0,friend order beer,5.0,good beer cold,9.0,get free beer,21.0,good beer good,27
still wait beer,5.0,order beer took,5.0,nice select beer,8.0,huge select beer,21.0,beer select well,26
no beer no,5.0,order beer came,5.0,burger fri beer,8.0,great beer list,20.0,beer good food,26
great select beer,5.0,order bottl beer,5.0,beer pretti good,8.0,nice beer select,19.0,servic great beer,25
beer list menu,4.0,beer chees dip,5.0,beer watch game,8.0,beer reason price,19.0,giant beer pong,24
beer wait minut,4.0,nickel beer night,5.0,beer well drink,8.0,realli good beer,19.0,nice select beer,24
get anoth beer,4.0,larg beer select,5.0,love beer select,8.0,giant beer pong,18.0,excel beer select,23
time order beer,4.0,beer select servic,5.0,food great beer,8.0,decent select beer,18.0,wide select beer,23
beer walk away,4.0,beer select decent,4.0,craft beer bar,8.0,wide select beer,18.0,great beer list,23
order root beer,4.0,love craft beer,4.0,amaz beer select,7.0,huge beer select,18.0,food beer select,22
get bottl beer,4.0,minut later beer,4.0,beer next time,7.0,place grab beer,18.0,good craft beer,22
minut order beer,4.0,want order beer,4.0,no beer tap,7.0,this place beer,18.0,beer tap great,21
mix drink beer,4.0,good beer cold,4.0,beer select averag,7.0,beer select well,17.0,beer select food,21
brought wrong beer,4.0,order root beer,4.0,beer chees soup,7.0,beer select food,17.0,huge beer select,21
food order beer,4.0,order differ beer,4.0,huge beer select,7.0,pretzel beer chees,17.0,good beer tap,20
order beer came,4.0,beer glass wine,4.0,beer batter fish,7.0,beer select excel,16.0,good food beer,20
draft beer cold,4.0,two draft beer,4.0,mix drink beer,7.0,amaz beer select,16.0,play beer pong,20
ask draft beer,4.0,husband order beer,4.0,get one beer,7.0,beer batter fish,15.0,mani beer tap,20
first beer order,4.0,beer root beer,4.0,beer reason price,7.0,beer select decent,15.0,beer select tap,20
husband ask beer,4.0,drink domest beer,4.0,beer batter onion,7.0,beer select also,15.0,good beer great,19
drink order beer,4.0,go back beer,4.0,great craft beer,7.0,beer great servic,15.0,beer tap bottl,19
place drink beer,4.0,come back beer,4.0,beer good servic,7.0,varieti beer tap,15.0,beer reason price,19
end get beer,4.0,beer select food,4.0,beer tap bottl,7.0,banana bread beer,15.0,wine beer select,18
one beer left,4.0,beer took min,4.0,beer tap great,7.0,well drink beer,15.0,craft beer great,18
order beer wait,4.0,decent select beer,4.0,beer noth special,7.0,beer select nice,14.0,beer select friend,18
order beer bar,4.0,beer tap select,4.0,beer batter fri,7.0,lot beer tap,14.0,food cold beer,18
minut later beer,4.0,beer select realli,4.0,larg beer select,7.0,beer batter onion,14.0,beer mix drink,18
glass wine beer,4.0,glass wine beer,4.0,beer root beer,7.0,beer good food,14.0,select beer wine,17
select craft beer,4.0,bb burger beer,4.0,no draft beer,6.0,awesom beer select,14.0,nice beer select,17
well drink beer,4.0,one draft beer,3.0,come back beer,6.0,beer good servic,14.0,wide varieti beer,17
better beer select,4.0,beer could drink,3.0,realli good beer,6.0,extens beer list,14.0,place great beer,17
ask beer menu,4.0,brought wrong beer,3.0,tenaya creek beer,6.0,beer wine select,13.0,beer realli good,17
craft beer select,4.0,beer realli good,3.0,this place beer,6.0,wine beer list,13.0,serv beer wine,17
beer took minut,4.0,beer select impress,3.0,beer select limit,6.0,craft beer list,13.0,beer batter avocado,17
also order beer,4.0,beer moscow mule,3.0,bar get beer,6.0,good beer tap,13.0,realli good beer,16
order beer would,4.0,beer great would,3.0,beer decent price,6.0,extens beer select,13.0,nice cold beer,16
cold beer great,3.0,one beer one,3.0,good craft beer,6.0,micro brew beer,13.0,great beer food,16
diet coke beer,3.0,beer select bad,3.0,beer bar food,6.0,good beer list,12.0,beer high recommend,16
us one beer,3.0,two beer water,3.0,good beer good,6.0,beer realli good,12.0,beer list great,15
one beer free,3.0,also order beer,3.0,beer select ok,6.0,beer select awesom,12.0,beer wine select,15
one beer came,3.0,beer list good,3.0,food beer select,6.0,beer ice cold,12.0,larg select beer,15
regular price beer,3.0,beer wine list,3.0,better beer select,6.0,excel beer select,12.0,lot beer tap,15
beer bar tender,3.0,beer mason jar,3.0,beer wine cocktail,6.0,tri new beer,12.0,banana bread beer,15
beer order beer,3.0,order beer batter,3.0,good beer tap,6.0,glass wine beer,12.0,extens beer menu,14
found mold beer,3.0,beer watch game,3.0,beer select this,6.0,beer tap well,12.0,one best beer,14
mold beer manag,3.0,beer cold servic,3.0,ton beer tap,6.0,amaz select beer,12.0,beer tap well,14
beer manag trevor,3.0,order beer wait,3.0,food ok beer,6.0,select beer wine,12.0,get free beer,14
mold float beer,3.0,beer husband order,3.0,huge select beer,6.0,larg beer select,12.0,cold beer great,14
float beer unprofession,3.0,order food beer,3.0,beer chicken wing,5.0,beer chees sauc,12.0,beer select also,14
beer unprofession manag,3.0,two star beer,3.0,select beer draft,5.0,select beer well,11.0,cold beer good,14
order hookah beer,3.0,better beer select,3.0,size beer pong,5.0,beer select tap,11.0,place grab beer,14
min get beer,3.0,order beer soda,3.0,select beer this,5.0,great place beer,11.0,pretzel beer chees,14
beer tri order,3.0,blue moon beer,3.0,beer select servic,5.0,food beer select,11.0,jenga beer pong,13
order beer brought,3.0,pretti good beer,3.0,order two beer,5.0,servic good beer,11.0,varieti beer tap,13
beer chip salsa,3.0,get beer order,3.0,also beer pong,5.0,beer select beer,11.0,size beer pong,13
parti order beer,3.0,good good beer,3.0,food decent beer,5.0,nice cold beer,11.0,beer select servic,13
us beer order,3.0,good beer wine,3.0,star beer select,5.0,good beer great,11.0,decent beer select,13
coupl beer bar,3.0,get free beer,3.0,decent beer list,5.0,select beer food,11.0,craft beer list,13
order beer menu,3.0,beer select tap,3.0,game beer pong,5.0,beer watch game,11.0,ton beer tap,13
beer anoth minut,3.0,good beer good,3.0,one free beer,5.0,beer watch sport,11.0,local craft beer,13
bar beer select,3.0,get good beer,3.0,giant beer pong,5.0,beer tast like,11.0,beer chees soup,13
get beer bartend,3.0,order one beer,3.0,beer select well,5.0,beer brais short,11.0,beer select one,13
one drink beer,3.0,place beer select,3.0,beer select nice,5.0,game beer pong,10.0,great beer wine,12
beer anoth min,3.0,beer food good,3.0,excel beer select,5.0,food cold beer,10.0,beer select nice,12
servic draft beer,3.0,plastic cup beer,3.0,bar good beer,5.0,beer las vega,10.0,best beer ever,12
beer cold notaddat,3.0,beer select limit,3.0,reason price beer,5.0,select beer cocktail,10.0,craft beer cocktail,12
order bottl beer,3.0,peopl play beer,3.0,great place beer,5.0,beer wine list,10.0,fantast beer select,12
drink one beer,3.0,beer pong tabl,3.0,great beer tap,5.0,local craft beer,10.0,great draft beer,12
beer tap one,3.0,time order beer,3.0,beer cold food,5.0,tabl beer pong,10.0,select bottl beer,12
get one beer,3.0,wait anoth beer,3.0,beer select quit,5.0,beer wine well,10.0,game beer pong,12
one beer want,3.0,beer tap noth,3.0,beer select amaz,5.0,beer wine cocktail,10.0,beer select includ,12
empti beer glass,3.0,good beer tap,3.0,select beer good,5.0,great draft beer,10.0,love beer select,12
bartend get beer,3.0,craft beer vega,3.0,drink good beer,5.0,serv beer wine,10.0,differ type beer,12
order beer appet,3.0,differ type beer,3.0,best beer select,5.0,ton beer tap,10.0,servic good beer,12
tri get beer,3.0,drink beer well,3.0,like root beer,5.0,good draft beer,10.0,tri differ beer,12
beer someon els,3.0,beer select ok,3.0,ok beer select,5.0,bb burger beer,10.0,love craft beer,12
get second beer,3.0,beer batter fish,3.0,place stop beer,5.0,good food beer,10.0,food amaz beer,12
order beer order,3.0,drink draft beer,3.0,beer good price,5.0,hous brew beer,10.0,self serv beer,12
buck two beer,3.0,order coupl beer,3.0,beer select also,5.0,size beer pong,9.0,select beer great,12
charg per beer,3.0,lot beer tap,3.0,free beer check,5.0,beer pong jenga,9.0,beer watch game,12
want anoth beer,3.0,place grab beer,3.0,extens beer list,5.0,jenga beer pong,9.0,las vega beer,12
bar grab beer,3.0,beer pretti good,3.0,extens beer menu,5.0,great beer great,9.0,great place beer,12
beer go somewher,3.0,draft beer list,3.0,love craft beer,5.0,servic great beer,9.0,beer select excel,11
beer cold servic,3.0,beer came plastic,3.0,bar food beer,5.0,beer staff friend,9.0,lot craft beer,11
ask kind beer,3.0,good beer this,3.0,place get beer,5.0,beer list pretti,9.0,beer select fantast,11
servic food beer,3.0,good thing beer,3.0,beer tap select,5.0,lot great beer,9.0,beer pong giant,11
order beer tell,3.0,beer select nice,3.0,beer select would,5.0,craft beer bar,9.0,select beer food,11
beer chees soup,3.0,larg select beer,3.0,beer list good,5.0,beer well drink,9.0,beer chees sauc,11
want play beer,3.0,love beer select,3.0,beer realli good,5.0,beer select impress,9.0,beer select pretti,11
order beer sinc,3.0,place nice beer,3.0,second beer challeng,5.0,one favorit beer,9.0,craft beer bar,11
order pitcher beer,3.0,beer tap like,3.0,impress beer select,5.0,beer price reason,9.0,beer well drink,11
beer friend order,3.0,beer wine select,3.0,local beer tap,5.0,cocktail wine beer,9.0,beer las vega,11
order beer ask,3.0,nice select beer,3.0,bb burger beer,5.0,las vega beer,9.0,beer tap food,11
order beer left,3.0,beer list said,3.0,beer batter lobster,5.0,extens beer menu,9.0,beer great price,11
domest beer well,3.0,awesom beer select,3.0,brew root beer,5.0,brew root beer,9.0,mix drink beer,11
got one beer,3.0,food ok beer,3.0,order coupl beer,4.0,select beer good,9.0,also great beer,11
beer whiskey howev,3.0,order second beer,3.0,lot craft beer,4.0,wide varieti beer,9.0,differ beer tap,11
order beer waitress,3.0,mani beer tap,3.0,life size beer,4.0,beer float chocol,9.0,beer batter fish,11
alreadi order beer,3.0,craft beer get,2.0,beer realli enjoy,4.0,beer good select,9.0,beer great place,11
beer bad food,3.0,beer even vega,2.0,pretti decent beer,4.0,beer select amaz,9.0,recommend great beer,11
beer avoid this,3.0,mason jar beer,2.0,got free beer,4.0,craft beer menu,8.0,decent select beer,11
tast like beer,3.0,beer two peopl,2.0,minut get beer,4.0,great food beer,8.0,beer great atmospher,11
brought back beer,3.0,could get beer,2.0,averag beer select,4.0,come back beer,8.0,life size beer,10
drink bottl beer,3.0,order beer two,2.0,order beer batter,4.0,self serv beer,8.0,gluten free beer,10
beer warm flat,3.0,varieti beer tap,2.0,beer tap howev,4.0,elli island beer,8.0,select wine beer,10
blue moon beer,3.0,beer order came,2.0,beer wine glass,4.0,beer select realli,8.0,cocktail beer wine,10
beer final came,3.0,beer order anoth,2.0,free oz beer,4.0,like beer select,8.0,excel craft beer,10
order got beer,3.0,draft beer came,2.0,beer batter shrimp,4.0,craft beer well,8.0,oz draft beer,10
place craft beer,3.0,beer good cold,2.0,select beer wine,4.0,beer select lot,8.0,tabl beer pong,10
anoth beer minut,3.0,one bottl beer,2.0,craft beer this,4.0,larg draft beer,8.0,good varieti beer,10
great beer select,3.0,paid beer cocktail,2.0,nice varieti beer,4.0,got free beer,8.0,beer food great,10
minut beer order,3.0,realli good beer,2.0,free draft beer,4.0,differ beer tap,8.0,has great beer,10
first three beer,3.0,five beer tap,2.0,beer servic great,4.0,beer great select,8.0,beer full bar,10
craft beer bar,3.0,beer also good,2.0,craft beer avail,4.0,beer tap great,8.0,beer select decent,10
select draft beer,3.0,beer pong multipl,2.0,beer list pretti,4.0,beer list includ,8.0,beer pretti good,10
beer warm like,3.0,beer pretti expens,2.0,awesom beer select,4.0,beer littl pricey,8.0,beer friend staff,10
serv warm beer,3.0,beer worth notaddth,2.0,beer choic great,4.0,fantast beer select,8.0,solid beer select,10
anoth beer took,3.0,beer drink good,2.0,grab beer food,4.0,mix drink beer,8.0,craft beer this,10
order beer told,3.0,spill entir beer,2.0,drink beer would,4.0,averag beer select,8.0,beer alway cold,10
awesom beer select,3.0,select beer drink,2.0,beer select fair,4.0,good beer cold,8.0,beer batter onion,10
has better beer,3.0,beer wife order,2.0,good choic beer,4.0,beer select mani,8.0,good beer cold,10
servic order beer,3.0,order beer waitress,2.0,drink order beer,4.0,pool tabl beer,8.0,beer drink select,10
vega standard beer,2.0,wait order beer,2.0,has great beer,4.0,beer realli enjoy,8.0,love beer love,10
want cold beer,2.0,order beer get,2.0,select beer though,4.0,wide rang beer,8.0,great varieti beer,10
cold beer good,2.0,order beer bill,2.0,place grab beer,4.0,select bottl beer,8.0,best craft beer,10
beer order server,2.0,first two beer,2.0,good food beer,4.0,beer ca go,8.0,us sampl beer,10
order bucket beer,2.0,star beer list,2.0,good beer great,4.0,friend beer select,8.0,like craft beer,10
went grab beer,2.0,order beer order,2.0,beer watch sport,4.0,select beer includ,8.0,beer good servic,10
mari draft beer,2.0,beer select well,2.0,enjoy cold beer,4.0,place great beer,8.0,good beer list,10
order beer go,2.0,select craft beer,2.0,good beer list,4.0,order root beer,8.0,beer even better,10
beer menu this,2.0,way this beer,2.0,drink beer select,4.0,beer ca beat,8.0,amaz select beer,10
four oz beer,2.0,beer manag came,2.0,beer select lot,4.0,great beer good,8.0,good great beer,10
beer warm waitress,2.0,serv beer mason,2.0,varieti beer choos,4.0,beer brew site,8.0,full bar beer,10
order beer shot,2.0,no beer list,2.0,beer want tri,4.0,drink beer wine,8.0,best beer select,10
come back beer,2.0,beer list ask,2.0,like beer list,4.0,love beer select,8.0,love taco beer,10
beer play pool,2.0,no clue beer,2.0,beer pong tournament,4.0,beer food menu,8.0,beer park has,10
came beer ask,2.0,beer select need,2.0,order one beer,4.0,outdoor beer garden,8.0,beer pong jenga,9
ask order beer,2.0,fri good beer,2.0,one beer one,4.0,place good beer,8.0,place craft beer,9
switch beer wine,2.0,sandwich one beer,2.0,beer pong flip,4.0,beer food good,8.0,servic cold beer,9
though order beer,2.0,still no beer,2.0,notaddth notaddfood beer,4.0,awesom select beer,8.0,beer wine list,9
go charg beer,2.0,beer anoth minut,2.0,ok beer list,4.0,craft beer fan,8.0,beer select alway,9
charg beer ask,2.0,brought beer order,2.0,beer felt like,4.0,like root beer,8.0,craft beer good,9
draft domest beer,2.0,limit beer select,2.0,has good beer,4.0,salad root beer,8.0,beer definit back,9
pour draft beer,2.0,sever craft beer,2.0,drink beer this,4.0,root beer beer,8.0,beer cocktail select,9
beer select servic,2.0,craft beer ipa,2.0,banana bread beer,4.0,beer park has,8.0,enjoy craft beer,9
beer food arriv,2.0,beer ipa draft,2.0,drink draft beer,4.0,life size beer,7.0,craft beer lover,9
get beer margarita,2.0,us order beer,2.0,beer tap good,4.0,like beer pong,7.0,beer wine bar,9
three beer tri,2.0,beer batter shrimp,2.0,beer select cool,4.0,reason price beer,7.0,plenti beer tap,9
look ask beer,2.0,beer bottl beer,2.0,nice cold beer,4.0,beer good price,7.0,great knowledg beer,9
beer told us,2.0,beer realli want,2.0,craft beer list,4.0,beer select definit,7.0,lot beer choic,9
beer batter shrimp,2.0,beer batter lobster,2.0,beer select excel,4.0,beer tap good,7.0,beer tap good,9
beer wine menu,2.0,beer could get,2.0,beer tap servic,4.0,beer pong game,7.0,beer tap plus,9
beer order appet,2.0,beer select also,2.0,beer float chocol,4.0,beer friend staff,7.0,beer servic great,9
bartend serv beer,2.0,hour got beer,2.0,good order beer,4.0,nice beer wine,7.0,also good beer,9
beer give this,2.0,beer bartend said,2.0,beer ca comment,4.0,us sampl beer,7.0,bar great beer,9
order beer bartend,2.0,beer vodka cranberri,2.0,would good beer,4.0,good beer menu,7.0,beer beer beer,9
free beer tast,2.0,beer watch sport,2.0,go back beer,4.0,beer great place,7.0,food craft beer,9
order beer start,2.0,mix drink beer,2.0,beer select awesom,4.0,beer tap rotat,7.0,incred beer select,9
say order beer,2.0,drink beer glass,2.0,elli island beer,4.0,beer select bartend,7.0,great beer awesom,9
domest beer miller,2.0,stale beer water,2.0,select beer food,4.0,also beer pong,7.0,beer chees fri,9
coupon free beer,2.0,get two beer,2.0,strip price beer,4.0,no draft beer,7.0,music great beer,9
play big beer,2.0,beer list happi,2.0,beer select though,4.0,beer select reason,7.0,burger great beer,9
big beer pong,2.0,beer wait minut,2.0,wide select beer,4.0,beer decent food,7.0,brew root beer,9
better food beer,2.0,beer float order,2.0,beer select tap,4.0,local beer tap,7.0,beer excel servic,9
slow order beer,2.0,cream root beer,2.0,beer chees pretzel,4.0,beer tap servic,7.0,best beer bar,9
beer food better,2.0,beer select better,2.0,burger good beer,4.0,beer batter fri,7.0,beer tap even,9
beer pong ball,2.0,beer this good,2.0,hous beer cheddar,4.0,half price beer,7.0,mini root beer,9
beer food terribl,2.0,need draft beer,2.0,beer cheddar bacon,4.0,beer full bar,7.0,beer batter fri,9
beer way overpr,2.0,tabl order beer,2.0,food beer amaz,3.0,beer check yelp,7.0,fri beer chees,9
want grab beer,2.0,beer order order,2.0,drink beer eat,3.0,cocktail beer wine,7.0,burger fri beer,8
back order beer,2.0,ok beer ok,2.0,order bucket beer,3.0,beer tap even,7.0,price great beer,8
beer no one,2.0,beer friend order,2.0,beer cocktail menu,3.0,beer chees soup,7.0,amaz food beer,8
pay beer play,2.0,beer cold food,2.0,place go beer,3.0,tri differ beer,7.0,beer select solid,8
draft beer no,2.0,small draft beer,2.0,got burger beer,3.0,draft bottl beer,7.0,wine beer list,8
sport bar beer,2.0,beer blue moon,2.0,burger coupl beer,3.0,beer even though,7.0,beer super cold,8
beer select averag,2.0,like stale beer,2.0,beer good select,3.0,lot beer choic,7.0,craft beer wine,8
beer right away,2.0,beer sat outsid,2.0,beer this good,3.0,drink beer tap,7.0,drink draft beer,8
beer no thank,2.0,hour beer price,2.0,eventu got beer,3.0,beer great price,7.0,beer nice cold,8
got charg beer,2.0,cool beer select,2.0,beer no one,3.0,beer second free,7.0,beer everi time,8
green beer st,2.0,eat notaddher beer,2.0,beer alway cold,3.0,beer select fantast,7.0,beer pong corn,8
beer st paddi,2.0,draft beer cost,2.0,beer tap beer,3.0,beer chees poutin,7.0,beer tap like,8
got beer wait,2.0,differ select beer,2.0,beer bare cold,3.0,brew beer root,7.0,beer great select,8
drink beer order,2.0,beer good get,2.0,also got beer,3.0,beer pong cornhol,6.0,beer pong pool,8
onion ring beer,2.0,two beer bar,2.0,beer pong jenga,3.0,beer select tri,6.0,beer glass wine,8
beer sinc play,2.0,draft beer server,2.0,order beer ask,3.0,bar good beer,6.0,friend knowledg beer,8
order beer friend,2.0,husband ask beer,2.0,come draft beer,3.0,beer select small,6.0,beer tap alway,8
said ok beer,2.0,pot pie beer,2.0,varieti beer select,3.0,good great beer,6.0,beer select menu,8
radman craft beer,2.0,place realli beer,2.0,beer select howev,3.0,beer cold food,6.0,food delici beer,8
craft beer suppos,2.0,look cheap beer,2.0,great beer tri,3.0,beer tap plenti,6.0,staff great beer,8
beer suppos slight,2.0,drink beer play,2.0,beer select poor,3.0,impress beer select,6.0,craft beer food,8
draft beer happi,2.0,drink good beer,2.0,beer bartend know,3.0,beer food select,6.0,delici craft beer,8
give bottl beer,2.0,ice tea beer,2.0,get beer order,3.0,beer select outstand,6.0,awesom great beer,8
food great beer,2.0,beer tri good,2.0,select beer servic,3.0,beer around world,6.0,great beer menu,8
beer terribl servic,2.0,beer one mix,2.0,beer batter serv,3.0,also order beer,6.0,ton beer choos,8
beer pong also,2.0,get beer servic,2.0,parti order beer,3.0,like craft beer,6.0,best select beer,8
moos drool beer,2.0,bill draft beer,2.0,video game beer,3.0,bottl craft beer,6.0,beer select staff,8
pitcher beer cost,2.0,beer good fri,2.0,wide varieti beer,3.0,beer lover this,6.0,free draft beer,8
notadd ask beer,2.0,beer price littl,2.0,watch game beer,3.0,beer pong pool,6.0,cold draft beer,8
beer glass water,2.0,beer batter fri,2.0,good beer batter,3.0,beer whiskey select,6.0,food beer servic,8
fine order beer,2.0,beer empti good,2.0,tast like beer,3.0,good beer price,6.0,beer ca beat,8
draft beer menu,2.0,beer felt like,2.0,beer brought us,3.0,beer great deal,6.0,pool tabl beer,8
order beer dinner,2.0,glass champagn beer,2.0,select beer avail,3.0,amount beer tap,6.0,got free beer,8
still pay beer,2.0,beer plus tip,2.0,drink expens beer,3.0,solid beer select,6.0,beer tast like,8
beer ca mess,2.0,ask waitress beer,2.0,beer would recommend,3.0,good place beer,6.0,beer top notch,8
poor draft beer,2.0,order beer friend,2.0,good draft beer,3.0,great beer special,6.0,beer select best,8
draft beer short,2.0,beer two order,2.0,beer noth fanci,3.0,black tan beer,6.0,craft beer well,8
beer tap great,2.0,order water beer,2.0,hard find beer,3.0,select beer choos,6.0,extens beer list,8
beer shot comp,2.0,water beer came,2.0,hour get beer,3.0,beer servic great,6.0,bar beer tap,8
no mention beer,2.0,thought order beer,2.0,beer tap also,3.0,bar beer select,6.0,huge beer list,8
beer check came,2.0,beer came order,2.0,order root beer,3.0,great beer food,6.0,beer brew site,8
buck draft beer,2.0,beer select basic,2.0,varieti beer tap,3.0,drink cheap beer,6.0,know his beer,8
draft beer warm,2.0,beer shot tequila,2.0,best craft beer,3.0,drink beer watch,6.0,place good beer,8
beer gave attitud,2.0,order beer shot,2.0,craft beer bet,3.0,beer select love,6.0,love root beer,8
beer this point,2.0,got second beer,2.0,would stick beer,3.0,number beer tap,6.0,menu beer select,8
beer select excel,2.0,beer select almost,2.0,well cheap beer,3.0,get good beer,6.0,beer select reason,8
cheap beer cold,2.0,forev get beer,2.0,grab cold beer,3.0,drink good beer,6.0,thank taco beer,8
beer select food,2.0,tall draft beer,2.0,cold beer watch,3.0,craft beer draft,6.0,beer tap go,7
one beer comp,2.0,place drink beer,2.0,beer pong this,3.0,beer list impress,6.0,beer definit come,7
beer put machin,2.0,drink beer food,2.0,stop quick beer,3.0,beer select vega,6.0,beer craft beer,7
drink beer cocktail,2.0,great place beer,2.0,bunch beer tap,3.0,enjoy cold beer,6.0,great wine beer,7
beer batter onion,2.0,grab beer though,2.0,bottl beer ask,3.0,place stop beer,6.0,beer tap menu,7
two draft beer,2.0,least beer cold,2.0,ton craft beer,3.0,place beer tap,6.0,beer select plenti,7
no beer tap,2.0,waitress forgot beer,2.0,lot good beer,3.0,beer select servic,6.0,good local beer,7
beer this time,2.0,get star beer,2.0,fantast beer select,3.0,excel select beer,6.0,jenga giant beer,7
still drink beer,2.0,beer select terribl,2.0,chees beer batter,3.0,burger fri beer,6.0,outstand beer select,7
small draft beer,2.0,sub par beer,2.0,cocktail beer wine,3.0,beer tap nice,6.0,drink beer great,7
draft beer one,2.0,realli nice beer,2.0,beer cold serv,3.0,beer list extens,6.0,beer delici food,7
us two beer,2.0,nice beer good,2.0,beer select mani,3.0,go back beer,6.0,one favorit beer,7
beer cold ask,2.0,beer good would,2.0,favorit beer tap,3.0,place sit beer,6.0,draft beer list,7
two beer two,2.0,realli wish beer,2.0,beer select solid,3.0,friend knowledg beer,6.0,servic beer select,7
ask beer wait,2.0,beer good price,2.0,order anoth beer,3.0,back tri beer,6.0,craft beer menu,7
beer ask want,2.0,first four beer,2.0,sport drink beer,3.0,beer tap this,6.0,homemad root beer,7
us free beer,2.0,stick beer food,2.0,one draft beer,3.0,best craft beer,6.0,elli island beer,7
drink beer ask,2.0,beer notaddth notaddhappi,2.0,order bottl beer,3.0,order draft beer,6.0,beer select draft,7
want drink beer,2.0,beer peopl watch,2.0,give star beer,3.0,huge beer list,6.0,beer amaz food,7
place use beer,2.0,beer pong insid,2.0,good place beer,3.0,free beer check,6.0,extens beer select,7
beer bud light,2.0,beer feel like,2.0,beer wine select,3.0,beer tap includ,6.0,select beer includ,7
hour get beer,2.0,beer pong game,2.0,gave free beer,3.0,select beer great,6.0,select beer drink,7
expens beer guess,2.0,beer order appet,2.0,beer full bar,3.0,mani beer tap,6.0,beer batter shrimp,7
get free beer,2.0,still charg beer,2.0,price beer food,3.0,good beer choic,6.0,bottl beer select,7
say love beer,2.0,one free beer,2.0,beer food ok,3.0,best beer select,6.0,bar beer select,7
beer good bar,2.0,get his beer,2.0,beer select actual,3.0,like beer tap,6.0,well drink beer,7
pay buck beer,2.0,beer list pretti,2.0,ton beer choic,3.0,beer draft bottl,6.0,enjoy beer select,7
beer expens food,2.0,tell beer order,2.0,good beer chees,3.0,beer select alway,6.0,great great beer,7
place order beer,2.0,soda root beer,2.0,dinner coupl beer,3.0,also good beer,5.0,bartend knowledg beer,7
alcohol root beer,2.0,hour beer no,2.0,craft beer lover,3.0,beer select huge,5.0,beer great bartend,7
no craft beer,2.0,give star beer,2.0,select bottl beer,3.0,select beer drink,5.0,cocktail beer select,7
