AcceptsInsurance,AgesAllowed,Alcohol,Ambience,BYOB,BYOBCorkage,BestNights,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking,ByAppointmentOnly,Caters,CoatCheck,Corkage,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal,HappyHour,HasTV,Music,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsCounterService,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi,background_music,breakfast,brunch,casual,classy,dairy-free,dessert,dinner,divey,dj,garage,gluten-free,halal,hipster,intimate,jukebox,karaoke,kosher,latenight,live,lot,lunch,no_music,romantic,soy-free,street,touristy,trendy,upscale,valet,validated,vegan,vegetarian,video,business_id,categories,city,is_open,latitude,longitude,name,postal_code,state,hours,FridayOPEN,MondayOPEN,SaturdayOPEN,SundayOPEN,ThursdayOPEN,TuesdayOPEN,WednesdayOPEN,FridayCOLSED,MondayCOLSED,SaturdayCOLSED,SundayCOLSED,ThursdayCOLSED,TuesdayCOLSED,WednesdayCOLSED,stars
unknown,unknown,'full_bar',unknown,unknown,unknown,unknown,FALSE,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,'average',unknown,FALSE,unknown,unknown,unknown,TRUE,2,FALSE,unknown,unknown,unknown,unknown,'paid',unknown,unknown,unknown,TRUE,FALSE,unknown,unknown,unknown,FALSE,unknown,FALSE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,unknown,169759,"Bars, Nightlife",Las Vegas,1,36.096378,-115.175925,Evening Call,89119,NV,"{'Monday': '10:0-3:0', 'Tuesday': '10:0-3:0', 'Wednesday': '10:0-3:0', 'Thursday': '10:0-4:0', 'Friday': '10:0-4:0', 'Saturday': '10:0-4:0', 'Sunday': '10:0-3:0'}",10:00,10:00,10:00,10:00,10:00,10:00,10:00,04:00,03:00,04:00,03:00,04:00,03:00,03:00,4.295454545
unknown,'21plus','full_bar',unknown,unknown,unknown,unknown,TRUE,unknown,TRUE,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,TRUE,FALSE,unknown,TRUE,TRUE,unknown,'loud',unknown,TRUE,'dressy',unknown,FALSE,TRUE,2,TRUE,TRUE,FALSE,outdoor,TRUE,'no',FALSE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,FALSE,TRUE,FALSE,unknown,unknown,FALSE,FALSE,FALSE,FALSE,unknown,unknown,FALSE,TRUE,unknown,unknown,FALSE,unknown,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,unknown,unknown,FALSE,140230,"Nightlife, Sports Bars, Restaurants, Event Planning & Services, Bars, Hookah Bars, Dance Clubs, American (Traditional)",Las Vegas,1,36.114384,-115.1218936,La Jolla,89119,NV,"{'Wednesday': '22:0-6:0', 'Thursday': '22:0-5:0', 'Friday': '22:0-4:0', 'Saturday': '22:0-5:0', 'Sunday': '22:0-6:0'}",22:00,,22:00,22:00,22:00,,22:00,04:00,,05:00,06:00,05:00,,06:00,3.333333333
unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,'dressy',unknown,FALSE,TRUE,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,175053,"Ethiopian, Nightlife, Restaurants, Bars, Hookah Bars, Arts & Entertainment, Music Venues",Las Vegas,0,36.12618962,-115.211488,Cazino Lounge and Gallery,89146,NV,"{'Tuesday': '17:0-5:0', 'Wednesday': '17:0-5:0', 'Thursday': '17:0-5:0', 'Friday': '17:0-5:0', 'Saturday': '17:0-5:0', 'Sunday': '17:0-2:0'}",17:00,,17:00,17:00,17:00,17:00,17:00,05:00,,05:00,02:00,05:00,05:00,05:00,3.2
unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,FALSE,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2,unknown,unknown,FALSE,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,98471,"Nightlife, Bars, Food, Beer, Wine & Spirits",Las Vegas,0,36.1467033,-115.3008587,The Lion's Tail Tavern,89117,NV,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,4.222222222
unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,TRUE,2,FALSE,unknown,TRUE,unknown,unknown,'free',unknown,FALSE,FALSE,FALSE,FALSE,unknown,FALSE,FALSE,FALSE,unknown,FALSE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,FALSE,unknown,FALSE,FALSE,unknown,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,unknown,181507,"Soup, Nightlife, Bars, Korean, Restaurants",Las Vegas,1,36.1258783,-115.203633,YasikNara,89102,NV,"{'Monday': '0:0-0:0', 'Wednesday': '4:30-3:0', 'Thursday': '4:30-3:0', 'Friday': '4:30-3:0', 'Saturday': '4:30-3:0', 'Sunday': '4:30-2:0'}",04:30,00:00,04:30,04:30,04:30,,04:30,03:00,00:00,03:00,02:00,03:00,,03:00,3.6
unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,TRUE,2,FALSE,unknown,TRUE,unknown,unknown,'free',unknown,FALSE,FALSE,FALSE,FALSE,unknown,FALSE,FALSE,FALSE,unknown,FALSE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,FALSE,unknown,FALSE,FALSE,unknown,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,unknown,88747,"American (New), Nightlife, Pubs, Restaurants, Bars, Sports Bars",Las Vegas,0,36.1444737,-115.1354528,Lj Bar & Grill,89104,NV,,,,,,,,,,,,,,,,4.25
unknown,unknown,'full_bar',unknown,unknown,unknown,unknown,TRUE,FALSE,TRUE,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,FALSE,FALSE,unknown,unknown,TRUE,unknown,'average',unknown,TRUE,'casual',unknown,TRUE,TRUE,2,TRUE,unknown,TRUE,unknown,unknown,'free',FALSE,FALSE,FALSE,TRUE,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,FALSE,TRUE,FALSE,FALSE,unknown,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,FALSE,15810,"Beer, Wine & Spirits, Bars, Ethnic Food, Cafes, Specialty Food, Restaurants, Cocktail Bars, Arts & Entertainment, Hookah Bars, Tea Rooms, Food, Nightlife, Mediterranean, Coffee & Tea, Music Venues",Las Vegas,1,36.108898,-115.151261,Azuza Hookah Lounge & Cafe,89169,NV,"{'Monday': '2:0-7:0', 'Tuesday': '17:0-2:30', 'Wednesday': '17:0-2:30', 'Thursday': '21:30-4:30', 'Friday': '14:0-4:0', 'Saturday': '14:0-3:30', 'Sunday': '14:0-2:30'}",14:00,02:00,14:00,14:00,21:30,17:00,17:00,04:00,07:00,03:30,02:30,04:30,02:30,02:30,4.407942238
unknown,unknown,'beer_and_wine',unknown,unknown,unknown,unknown,FALSE,FALSE,TRUE,unknown,unknown,FALSE,FALSE,unknown,FALSE,unknown,FALSE,TRUE,unknown,TRUE,TRUE,unknown,'average',unknown,FALSE,'casual',unknown,FALSE,TRUE,2,TRUE,TRUE,TRUE,no,TRUE,'no',unknown,FALSE,FALSE,FALSE,FALSE,unknown,FALSE,FALSE,TRUE,FALSE,TRUE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,TRUE,unknown,FALSE,FALSE,unknown,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,unknown,187085,"Pubs, Izakaya, Nightlife, Tapas/Small Plates, Asian Fusion, Restaurants, Japanese, Ramen, Bars",Las Vegas,0,36.10076061,-115.1018818,Yatai Japanese Grill & Pub,89121,NV,"{'Monday': '11:30-23:30', 'Tuesday': '11:30-23:30', 'Wednesday': '11:30-23:30', 'Thursday': '11:30-23:30', 'Friday': '11:30-23:30', 'Saturday': '17:30-23:30', 'Sunday': '17:30-23:30'}",11:30,11:30,17:30,17:30,11:30,11:30,11:30,23:30,23:30,23:30,23:30,23:30,23:30,23:30,4.243902439
unknown,unknown,'full_bar',unknown,unknown,unknown,unknown,TRUE,unknown,TRUE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,FALSE,TRUE,unknown,TRUE,TRUE,unknown,'average',unknown,FALSE,'casual',unknown,FALSE,TRUE,3,TRUE,unknown,TRUE,unknown,unknown,'no',FALSE,FALSE,FALSE,TRUE,FALSE,unknown,FALSE,TRUE,FALSE,FALSE,FALSE,unknown,unknown,FALSE,FALSE,FALSE,FALSE,unknown,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,FALSE,63046,"American (Traditional), Restaurants, Steakhouses, Nightlife, Bars, Cocktail Bars, Seafood",Las Vegas,1,36.27472555,-115.245787,Bob Taylor's Ranch House,89130,NV,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Friday': '11:0-11:0', 'Saturday': '11:0-11:0', 'Sunday': '11:0-22:0'}",11:00,11:00,11:00,11:00,,11:00,11:00,11:00,22:00,11:00,22:00,,22:00,22:00,3.537634409
unknown,unknown,'full_bar',unknown,unknown,unknown,unknown,TRUE,unknown,TRUE,unknown,unknown,FALSE,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,TRUE,TRUE,unknown,'average',unknown,FALSE,'casual',unknown,FALSE,TRUE,1,FALSE,unknown,TRUE,unknown,unknown,'no',unknown,FALSE,FALSE,TRUE,FALSE,unknown,FALSE,FALSE,FALSE,unknown,FALSE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,TRUE,unknown,TRUE,FALSE,unknown,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,unknown,120649,"Pizza, Beer, Wine & Spirits, Food, Restaurants, Nightlife, American (Traditional), Chicken Wings, Sports Bars, Bars",Las Vegas,1,35.9968968,-115.1371786,Cactus Jacks Saloon,89183,NV,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,3.685185185
unknown,unknown,'full_bar',unknown,unknown,unknown,unknown,FALSE,FALSE,TRUE,unknown,unknown,FALSE,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,TRUE,unknown,'average',unknown,FALSE,'casual',unknown,FALSE,TRUE,1,FALSE,unknown,TRUE,unknown,unknown,'free',unknown,FALSE,FALSE,TRUE,FALSE,unknown,FALSE,FALSE,FALSE,unknown,FALSE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,TRUE,unknown,TRUE,FALSE,unknown,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,unknown,87657,"Restaurants, American (Traditional), Lounges, Bars, Nightlife",Las Vegas,1,36.1007,-115.102946,Putter's Bar & Grill,89121,NV,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,3.217391304
unknown,unknown,'full_bar',unknown,unknown,unknown,unknown,TRUE,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,TRUE,TRUE,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,TRUE,3,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,FALSE,unknown,unknown,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,FALSE,FALSE,FALSE,unknown,unknown,unknown,unknown,unknown,15125,"Nightlife, Bars",Las Vegas,1,36.09892088,-115.175656,Drenched Poolside Bar & Clubhouse,89109,NV,,,,,,,,,,,,,,,,2.285714286
unknown,unknown,'full_bar',unknown,unknown,unknown,unknown,TRUE,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,TRUE,TRUE,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,TRUE,3,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,FALSE,unknown,unknown,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,FALSE,FALSE,FALSE,unknown,unknown,unknown,unknown,unknown,110104,"Seafood, Bars, Restaurants, Steakhouses, Cocktail Bars, Nightlife",Las Vegas,1,36.1188165,-115.1542185,"Cleaver -  Butchered Meats, Seafood & Cocktails",89169,NV,"{'Monday': '0:0-0:0', 'Tuesday': '17:0-3:0', 'Wednesday': '17:0-3:0', 'Thursday': '17:0-3:0', 'Friday': '17:0-3:0', 'Saturday': '17:0-3:0', 'Sunday': '17:0-3:0'}",17:00,00:00,17:00,17:00,17:00,17:00,17:00,03:00,00:00,03:00,03:00,03:00,03:00,03:00,4.553191489
unknown,unknown,'full_bar',unknown,unknown,unknown,unknown,TRUE,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,TRUE,unknown,'average',unknown,FALSE,'casual',unknown,FALSE,TRUE,1,FALSE,unknown,unknown,unknown,unknown,'free',unknown,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,FALSE,unknown,FALSE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,unknown,44658,"Nightlife, Restaurants, Beach Bars, American (Traditional), Bars",Las Vegas,1,36.10087195,-115.2445316,Cariba Charlie's,89103,NV,"{'Monday': '6:0-6:0', 'Tuesday': '6:0-6:0', 'Wednesday': '6:0-6:0', 'Thursday': '6:0-6:0', 'Friday': '6:0-6:0', 'Saturday': '6:0-6:0', 'Sunday': '6:0-6:0'}",06:00,06:00,06:00,06:00,06:00,06:00,06:00,06:00,06:00,06:00,06:00,06:00,06:00,06:00,3.818181818
